city_code,name,state,district_code,lat,lon,population,feature_code,absorbed_places
MAN2,Mango,Jharkhand,357,22.8275,86.21639,223805,PPL,0
MUR,Murwāra,Madhya Pradesh,450,23.83776,80.39405,221883,PPL,0
KAN3,Kanchipuram,Tamil Nadu,604,12.83515,79.70006,221715,PPL,0
SIN,Singrauli,Madhya Pradesh,463,24.19973,82.67535,220257,PPL,0
MIR,Mirzāpur,Uttar Pradesh,199,25.1449,82.56534,220029,PPL,0
KHA,Kharagpur,West Bengal,344,22.33971,87.32501,219665,PPL,0
ELU,Eluru,Andhra Pradesh,748,16.71311,81.10437,218020,PPLA2,0
YAM,Yamuna Nagar,Haryana,071,30.12796,77.28371,217071,PPL,0
RAU,Raurkela Industrial Township,Odisha,374,22.19994,84.86176,216410,PPL,0
BID,Bidar,Karnataka,558,17.90802,77.51524,216020,PPL,0
MUN,Munger,Bihar,226,25.37459,86.47455,213303,PPL,0
NAN2,Nandyāl,Andhra Pradesh,755,15.47799,78.4836,211424,PPL,0
PAN3,Panchkula,Haryana,069,30.69461,76.8504,211355,PPLA2,0
BUR,Burhānpur,Madhya Pradesh,467,21.30868,76.23026,210886,PPL,0
MOR2,Morvi,Gujarat,673,22.81731,70.8377,210451,PPLA2,0
ANA2,Anand,Gujarat,482,22.55251,72.9552,209410,PPLA2,0
ONG,Ongole,Andhra Pradesh,549,15.50357,80.04454,208344,PPL,0
HOS2,Hosapete,Karnataka,738,15.26954,76.3871,206167,PPL,0
NAN3,Nāngloi Jāt,Delhi,096,28.67957,77.06799,205596,PPL,0
SEC,Secunderabad,Telangana,700,17.50427,78.54263,204182,PPL,0
DEO,Deoghar,Jharkhand,350,24.48983,86.69902,203123,PPLA3,0
CHA3,Chāpra,Bihar,219,25.78031,84.74709,202352,PPL,0
KHA2,Khandwa,Madhya Pradesh,466,21.82427,76.35086,200738,PPL,0
PUR2,Puri,Odisha,387,19.79825,85.82494,200564,PPL,0
MOR3,Morena,Madhya Pradesh,419,26.49892,77.99534,200482,PPL,0
GYA,Gyānpur,Uttar Pradesh,198,25.33268,82.46637,200000,PPL,0
BUL,Bulandshahr,Uttar Pradesh,142,28.40392,77.85773,198612,PPL,0
BHI4,Bhind,Madhya Pradesh,420,26.56671,78.78728,197585,PPL,0
KHA3,Khammam,Telangana,541,17.24767,80.14368,196283,PPL,0
SAM,Sambhal,Uttar Pradesh,659,28.58498,78.56959,196109,PPLA2,0
BHI5,Bhiwāni,Haryana,081,28.79304,76.13968,196057,PPL,0
PAN4,Panvel,Maharashtra,520,18.98878,73.11013,195373,PPL,0
AMB3,Ambāla,Haryana,070,30.36099,76.79782,195153,PPL,0
KUM,Kumarapalayam,Tamil Nadu,609,11.44495,77.71102,195071,PPL,0
MAC,Machilīpatnam,Andhra Pradesh,547,16.18747,81.13888,192827,PPL,0
MAH2,Mahesāna,Gujarat,471,23.59864,72.38472,190753,PPL,0
MAH3,Mahbūbnagar,Telangana,538,16.74385,77.98597,190400,PPLA2,0
SAM2,Sambalpur,Odisha,372,21.46527,83.97573,189366,PPL,0
BHU2,Bhusawal,Maharashtra,499,21.04365,75.78506,187421,PPL,0
RAE,Raebareli,Uttar Pradesh,158,26.2309,81.23315,186433,PPL,0
HAR,Haridwar,Uttarakhand,068,29.94791,78.16025,186079,PPL,0
PHU,Phusro,Jharkhand,355,23.75644,86.0051,185555,PPL,0
ADO,Adoni,Andhra Pradesh,552,15.62788,77.27495,184625,PPL,0
SUJ,Sūjāngarh,Rajasthan,102,27.7,74.46667,183808,PPL,0
SIR,Sirsa,Haryana,079,29.53489,75.02898,182534,PPL,0
DIN2,Dinapur Nizamat,Bihar,230,25.63847,85.05118,182429,PPL,0
BAH,Bahraigh,Uttar Pradesh,180,27.57429,81.59474,182218,PPL,0
KAR4,Kāraikkudi,Tamil Nadu,622,10.06615,78.76784,181851,PPL,0
SUL,Sultan Pur Majra,Delhi,090,28.68966,77.07648,181554,PPL,0
GUN3,Guna,Madhya Pradesh,458,24.64691,77.3113,180935,PPL,0
CHA4,Chandannagar,West Bengal,338,22.86225,88.36796,180623,PPL,0
BAH2,Baharampur,West Bengal,333,24.10473,88.25155,180547,PPL,0
