city_code,name,state,district_code,lat,lon,population,feature_code,absorbed_places
KHU,Khurja,Uttar Pradesh,142,28.25382,77.85535,105909,PPL,0
KIS2,Kishanganj,Bihar,210,26.10224,87.95534,105782,PPL,0
PON,Ponnāni,Kerala,592,10.76695,75.92523,105512,PPL,0
HIN2,Hindaun,Rajasthan,107,26.73411,77.03519,105452,PPL,0
JAM5,Jamālpur,Bihar,226,25.31258,86.48888,105434,PPLA3,0
NAG4,Nāgaur,Rajasthan,112,27.20201,73.73394,105218,PPL,0
AMB6,Ambala Sadar,Haryana,070,30.33544,76.86265,104974,PPL,0
BHI7,Bhiwadi,Rajasthan,104,28.21024,76.86056,104921,PPL,0
BUN,Būndi,Rajasthan,121,25.43855,75.63735,104919,PPL,0
MIR2,Miryalaguda,Telangana,539,16.8722,79.56247,104918,PPL,0
SOY,Soyībug,Jammu and Kashmir,002,34.07677,74.7057,104000,PPL,0
JAG3,Jagtiāl,Telangana,681,18.79473,78.91661,103930,PPLA2,0
ROO,Roorkee,Uttarakhand,068,29.86632,77.89118,103894,PPL,0
UDG,Udgīr,Maharashtra,524,18.39258,77.11756,103550,PPL,0
NAG5,Nagda,Madhya Pradesh,435,23.45834,75.41759,103501,PPL,0
BET2,Betūl,Madhya Pradesh,447,21.90056,77.90229,103330,PPL,0
JAH,Jahānābād,Bihar,239,25.21368,84.9871,103202,PPL,0
KAS,Kashipur,Uttarakhand,067,29.21399,78.95693,103138,PPL,0
GHA2,Ghazīpur,Uttar Pradesh,195,25.58333,83.58526,103095,PPL,0
AMA,Amaravati,Andhra Pradesh,548,16.514,80.516,103000,PPL,0
NAG6,Nagapattinam,Tamil Nadu,618,10.76377,79.84313,102905,PPL,0
BUX,Buxar,Bihar,232,25.57548,83.98043,102861,PPL,0
MOR4,Mormugao,Goa,586,15.38914,73.81491,102345,PPL,0
SEO,Seoni,Madhya Pradesh,456,22.08503,79.55037,102343,PPL,0
AUR2,Aurangābād,Bihar,235,24.75204,84.3742,102244,PPL,0
HIN3,Hinganghāt,Maharashtra,504,20.54875,78.83978,101805,PPL,0
DHA5,Dhamtari,Chhattisgarh,412,20.70718,81.54874,101677,PPL,0
CHI5,Chilakalūrupet,Andhra Pradesh,751,16.08987,80.16705,101398,PPL,0
MAL4,Malappuram,Kerala,592,11.04199,76.08154,101386,PPL,0
BAN5,Bānswāra,Rajasthan,125,23.54109,74.4425,101017,PPL,0
ITA,Itārsi,Madhya Pradesh,449,22.61477,77.76222,100574,PPL,0
VAS,Vasco da Gama,Goa,586,15.39585,73.81568,100485,PPL,0
GAN5,Gangtok,Sikkim,244,27.32574,88.61216,100286,PPLA,0
DAT,Datia,Madhya Pradesh,422,25.67312,78.45908,100284,PPL,0
PHA,Phagwāra,Punjab,036,31.22452,75.77387,100146,PPL,0
