city_code,name,state,lat,lon,population,zone_count,service_radius_km,modelled_population,retention,area_km2,pipe_length_km
AMR3,Amroha,Uttar Pradesh,28.90314,78.46984,176253,8,2.706,176252,1.0,14.64,165.2
CHH,Chhindwāra,Madhya Pradesh,22.05697,78.93958,175052,8,2.698,175052,1.0,14.56,164.2
TAM,Tambaram,Tamil Nadu,12.9246,80.12707,174787,8,2.696,160220,0.917,14.54,160.0
BHE,Bhetia,Jharkhand,22.79321,86.14098,174355,8,2.693,145296,0.833,14.5,155.68
PAT3,Pathānkot,Punjab,32.27484,75.65287,174306,8,2.693,174304,1.0,14.5,163.56
BAD,Badlapur,Maharashtra,19.15516,73.26553,174226,8,2.692,174228,1.0,14.5,163.52
CUD,Cuddalore,Tamil Nadu,11.75617,79.76693,173636,8,2.689,173636,1.0,14.46,163.0
SHI4,Shimla,Himachal Pradesh,31.10442,77.16662,173503,8,2.688,173504,1.0,14.45,162.92
GAD,Gadag-Betageri,Karnataka,15.4167,75.6167,172813,7,2.683,100809,0.583,12.6,128.27
GAD2,Gadag,Karnataka,15.42977,75.62971,172612,7,2.682,100689,0.583,12.59,128.13
VER,Verāval,Gujarat,20.9077,70.36786,171121,7,2.672,171120,1.0,22.22,224.39
NAV2,Navsari,Gujarat,20.94237,72.92467,171109,7,2.672,171109,1.0,22.21,224.38
BAH3,Bahadurgarh,Haryana,28.69287,76.93555,170767,7,2.67,170766,1.0,22.18,223.98
HAL,Haldia,West Bengal,22.06046,88.10975,170695,7,2.669,170693,1.0,22.17,223.91
RAI3,Rāiganj,West Bengal,25.61281,88.12449,170252,7,2.666,170252,1.0,22.12,223.41
MAL2,Malda,West Bengal,25.00447,88.14573,170039,7,2.665,170036,1.0,22.1,223.15
JAU,Jaunpur,Uttar Pradesh,25.75356,82.68689,169572,7,2.662,169572,1.0,22.04,222.62
DEO2,Deoli,Delhi,28.50254,77.23117,169122,7,2.659,169120,1.0,21.99,222.08
BHA6,Bharūch,Gujarat,21.69482,72.9805,169007,7,2.658,169006,1.0,21.99,221.94
HOS3,Hoshiārpur,Punjab,31.53723,75.91269,168653,7,2.656,168652,1.0,21.95,221.57
JIN,Jīnd,Haryana,29.31577,76.31502,167592,7,2.649,167591,1.0,21.83,220.32
KUM2,Kumbakonam,Tamil Nadu,10.96209,79.39124,167155,7,2.646,167156,1.0,21.78,219.82
MOH,Mohali,Punjab,30.67995,76.72211,166864,7,2.644,166863,1.0,21.75,219.53
FAT,Fatehpur,Uttar Pradesh,25.92774,80.81266,166480,7,2.641,166479,1.0,21.71,219.06
TON,Tonk,Rajasthan,26.16638,75.78824,165294,7,2.634,165296,1.0,21.58,217.7
UDU,Udupi,Karnataka,13.33467,74.74617,165000,7,2.632,165001,1.0,21.55,217.36
THE,Thenali,Andhra Pradesh,16.24253,80.63982,164937,7,2.631,164935,1.0,21.54,217.29
SIT,Sītāpur,Uttar Pradesh,27.56192,80.68265,164435,7,2.628,164436,1.0,21.48,216.72
ALA2,Alandur,Tamil Nadu,13.0025,80.20611,164430,7,2.628,146159,0.889,21.48,211.73
BHA7,Bhadrāvati,Karnataka,13.84846,75.70502,163903,7,2.624,163904,1.0,21.43,216.08
VAP,Vapi,Gujarat,20.37175,72.90493,163630,7,2.622,163630,1.0,21.39,215.79
MOG,Moga,Punjab,30.81383,75.16878,163397,7,2.621,163398,1.0,21.37,215.51
RAJ4,Rāj-Nāndgaon,Chhattisgarh,21.09687,81.0289,163114,7,2.619,163112,1.0,21.34,215.18
ROB,Robertsonpet,Karnataka,12.95629,78.27539,162230,7,2.613,162231,1.0,21.24,214.18
UNN,Unnāo,Uttar Pradesh,26.54706,80.48781,161671,7,2.609,161669,1.0,21.18,213.53
BUD,Budaun,Uttar Pradesh,28.03811,79.12668,161555,7,2.608,161554,1.0,21.17,213.41
MAD3,Madhyamgram,West Bengal,22.68944,88.44594,161126,7,2.605,143223,0.889,21.12,208.01
CHI,Chittoor,Andhra Pradesh,13.21055,79.0956,160722,7,2.603,160722,1.0,21.08,212.42
JAM4,Jāmuria,West Bengal,23.70468,87.07872,160242,7,2.599,160242,1.0,21.02,211.87
JAI2,Jaigaon,West Bengal,26.84766,89.37558,158664,7,2.589,158666,1.0,20.85,210.08
BAT2,Batāla,Punjab,31.80921,75.20294,158621,7,2.588,158623,1.0,20.85,210.01
ORA,Orai,Uttar Pradesh,25.99023,79.45334,158265,7,2.586,158265,1.0,20.8,209.61
SAH2,Saharsa,Bihar,25.87498,86.59611,156540,7,2.574,156540,1.0,20.61,207.61
VID,Vidisha,Madhya Pradesh,23.52604,77.81092,155951,7,2.57,155948,1.0,20.55,206.92
HAN,Hanumāngarh,Rajasthan,29.58182,74.32938,155687,7,2.568,155688,1.0,20.52,206.63
THA3,Thānesar,Haryana,29.97323,76.83214,155152,7,2.564,155153,1.0,20.46,205.99
HAS2,Hassan,Karnataka,13.00715,76.0962,155006,7,2.563,155004,1.0,20.45,205.8
KIS,Kishangarh,Rajasthan,26.59006,74.85397,154886,7,2.563,154886,1.0,20.43,205.66
RUD,Rudrapur,Uttarakhand,28.98,79.4,154554,7,2.56,154555,1.0,20.39,205.3
NAL,Nalgonda,Telangana,17.05439,79.26707,154326,7,2.559,154325,1.0,20.37,205.02
HAZ,Hazāribāgh,Jharkhand,23.99241,85.36162,153595,7,2.554,153596,1.0,20.29,204.18
MED,Medinīpur,West Bengal,22.42114,87.32257,153349,7,2.552,153350,1.0,20.26,203.9
BAL2,Bālurghāt,West Bengal,25.22099,88.77732,153279,7,2.551,153279,1.0,20.25,203.82
FYZ,Fyzābād,Uttar Pradesh,26.77549,82.15018,153047,7,2.55,153047,1.0,20.22,203.54
DIN3,Dinapore,Bihar,25.63705,85.04794,152940,2,2.549,33987,0.222,5.78,55.47
POR,Porbandar,Gujarat,21.64219,69.60929,152760,7,2.548,152760,1.0,20.2,203.21
BAN,Bānda,Uttar Pradesh,25.47758,80.33491,152218,7,2.544,152218,1.0,20.13,202.61
HIN,Hindupur,Andhra Pradesh,13.82807,77.49143,151677,7,2.54,151676,1.0,20.08,201.97
BEA,Beāwar,Rajasthan,26.10119,74.32028,151152,7,2.536,151150,1.0,20.01,201.35
ANA3,Anantnag,Jammu and Kashmir,33.73068,75.15418,150592,7,2.533,150594,1.0,19.96,200.71
SER,Serilingampalle,Telangana,17.49313,78.30196,150525,7,2.532,150524,1.0,19.94,200.63
RAI4,Raigarh,Chhattisgarh,21.89764,83.3966,150019,7,2.528,150018,1.0,19.89,200.02
SHA3,Shāntipur,West Bengal,23.24723,88.43302,149983,7,2.528,149982,1.0,19.89,200.01
BHU3,Bhuj,Gujarat,23.25397,69.66928,148834,7,2.52,148834,1.0,19.76,198.66
BAR4,Bārākpur,West Bengal,22.76602,88.36336,148174,3,2.515,49391,0.333,8.44,80.96
HAJ,Hājīpur,Bihar,25.68544,85.20981,147688,7,2.512,147687,1.0,19.63,197.33
SAS,Sasarām,Bihar,24.94942,84.01645,147408,7,2.51,147408,1.0,19.6,196.99
BHI6,Bhimavaram,Andhra Pradesh,16.54078,81.52322,146961,7,2.507,146960,1.0,19.55,196.47
BEE,Beed,Maharashtra,18.98921,75.75634,146709,7,2.505,146708,1.0,19.52,196.18
KRI,Krishnanagar,West Bengal,23.40576,88.49073,145926,7,2.499,145927,1.0,19.43,195.28
CHI2,Chitradurga,Karnataka,14.22262,76.40038,145853,7,2.499,145855,1.0,19.43,195.16
DIB,Dibrugarh,Assam,27.47989,94.90837,145488,7,2.496,145487,1.0,19.38,194.74
ABO,Abohar,Punjab,30.14453,74.19552,145302,7,2.495,145301,1.0,19.36,194.52
TIR5,Tiruvannamalai,Tamil Nadu,12.22662,79.07461,145278,7,2.495,145278,1.0,19.36,194.52
KAI,Kaithal,Haryana,29.80153,76.39959,144915,7,2.492,144917,1.0,19.32,194.09
BAL3,Balasore,Odisha,21.49266,86.93348,144373,6,2.488,144374,1.0,16.51,171.42
GOD,Godhra,Gujarat,22.77547,73.61488,143644,6,2.483,143642,1.0,16.44,170.68
SHI5,Shillong,Meghalaya,25.56892,91.88313,143229,6,2.48,143228,1.0,16.4,170.25
REW2,Rewāri,Haryana,28.199,76.6183,143021,6,2.478,143021,1.0,16.38,170.02
BAS,Basirhat City,West Bengal,22.66142,88.85477,143007,6,2.478,143009,1.0,16.37,170.02
CHH2,Chhatarpur,Madhya Pradesh,24.9177,79.58871,142128,6,2.472,142128,1.0,16.29,169.1
MAN3,Mandsaur,Madhya Pradesh,24.07184,75.06986,141667,6,2.468,141669,1.0,16.25,168.62
CHA5,Chas,Jharkhand,23.63556,86.16712,141640,6,2.468,110164,0.778,16.24,160.02
PAL3,Pālanpur,Gujarat,24.17128,72.43827,141592,6,2.468,141593,1.0,16.24,168.54
LAK,Lakhīmpur,Uttar Pradesh,27.94822,80.77935,140223,6,2.458,140223,1.0,16.11,167.1
VAL,Valsād,Gujarat,20.61013,72.93428,139764,6,2.454,139764,1.0,16.06,166.61
DAM,Damoh,Madhya Pradesh,23.83312,79.4419,139561,6,2.453,139560,1.0,16.04,166.42
HAL2,Haldwani,Uttarakhand,29.22254,79.5286,139497,6,2.452,139496,1.0,16.04,166.35
HAB,Hābra,West Bengal,22.84202,88.65606,139297,6,2.451,92866,0.667,16.02,153.5
KOL4,Kolār,Karnataka,13.13768,78.12999,138462,6,2.445,138462,1.0,15.94,165.26
SRI3,Srikakulam,Andhra Pradesh,18.2989,83.89751,137944,6,2.441,137945,1.0,15.89,164.71
MAN4,Mandya,Karnataka,12.5223,76.89746,137358,6,2.437,137358,1.0,15.83,164.11
MAD4,Madhurampur Dehri,Bihar,24.96899,84.1964,137231,6,2.436,137231,1.0,15.82,163.98
KAN4,Kānchrāpāra,West Bengal,22.95998,88.42849,136954,4,2.434,60869,0.444,10.53,100.83
DIM,Dimāpur,Nagaland,25.91174,93.7217,135860,6,2.425,135860,1.0,15.68,162.53
MAL3,Māler Kotla,Punjab,30.5309,75.87949,135424,6,2.422,135425,1.0,15.64,162.09
SIW,Siwān,Bihar,26.22096,84.35609,135066,6,2.419,135068,1.0,15.61,161.72
KAL4,Kalol,Gujarat,23.24656,72.49508,134426,6,2.415,134425,1.0,15.55,161.05
BAN2,Bānkura,West Bengal,23.23241,87.0716,133966,6,2.411,133966,1.0,15.5,160.57
PAT4,Pātan,Gujarat,23.8507,72.12963,133737,6,2.409,133736,1.0,15.48,160.32
GON,Gondā City,Uttar Pradesh,27.13181,81.95332,133583,6,2.408,133583,1.0,15.47,160.14
DHA2,Dhaulpur,Rajasthan,26.69286,77.87968,133075,6,2.404,133073,1.0,15.41,159.6
GON2,Gondiā,Maharashtra,21.46026,80.19205,132813,6,2.402,132812,1.0,15.39,159.35
PAL4,Palakkad,Kerala,10.77319,76.65366,132728,6,2.402,132728,1.0,15.38,159.23
BET,Bettiah,Bihar,26.80229,84.50311,132209,6,2.398,132211,1.0,15.33,158.73
PAL5,Palwal,Haryana,28.14469,77.32546,131926,6,2.396,131925,1.0,15.31,158.43
RAN3,Rānīganj,West Bengal,23.6164,87.13061,131261,6,2.391,131261,1.0,15.24,157.71
ETA2,Etah,Uttar Pradesh,27.55879,78.65692,131023,6,2.389,131024,1.0,15.22,157.46
PIL,Pīlibhīt,Uttar Pradesh,28.63124,79.80436,131008,6,2.389,131006,1.0,15.22,157.46
RAJ5,Rajapalayam,Tamil Nadu,9.45296,77.55335,130442,6,2.384,130443,1.0,15.16,156.84
BOT,Botad,Gujarat,22.16917,71.66671,130327,6,2.383,130329,1.0,15.15,156.72
DEO3,Deoria,Uttar Pradesh,26.50167,83.77936,129570,6,2.378,129570,1.0,15.07,155.93
NIM,Nimach,Rajasthan,24.45949,74.86625,128561,6,2.37,128562,1.0,14.98,154.85
KHA4,Khardah,West Bengal,22.71861,88.37806,128346,2,2.368,28521,0.222,4.98,47.66
YAV,Yavatmāl,Maharashtra,20.39324,78.13201,128175,6,2.367,128174,1.0,14.94,154.47
HAL3,Hālīsahar,West Bengal,22.93218,88.41859,128172,2,2.367,28483,0.222,4.98,47.6
KHA5,Khanna,Punjab,30.70547,76.22196,128137,6,2.366,128136,1.0,14.93,154.41
TIT,Titāgarh,West Bengal,22.74252,88.37326,127751,2,2.363,28389,0.222,4.97,47.47
HAT,Hāthras,Uttar Pradesh,27.59551,78.05201,126882,6,2.357,126880,1.0,14.81,153.08
JOR,Jorhat,Assam,26.75751,94.20306,126736,6,2.356,126738,1.0,14.8,152.95
LAL,Lalitpur,Uttar Pradesh,24.69007,78.41915,126475,6,2.354,126476,1.0,14.77,152.65
GUN4,Guntakal,Andhra Pradesh,15.17112,77.36244,126270,6,2.352,126268,1.0,14.75,152.46
PIT,Pithampur,Madhya Pradesh,22.60197,75.69649,126200,6,2.351,126202,1.0,14.74,152.35
MOT,Mothīhāri,Bihar,26.64862,84.91656,126158,6,2.351,126158,1.0,14.74,152.33
KAN5,Kanhangad,Kerala,12.30814,75.10632,125564,6,2.346,125565,1.0,14.68,151.68
JAG,Jagdalpur,Chhattisgarh,19.08136,82.02131,125463,6,2.346,125463,1.0,14.67,151.61
JAG2,Jagādhri,Haryana,30.16719,77.30367,124894,6,2.341,97139,0.778,14.62,143.41
DAR2,Dārjiling,West Bengal,27.03333,88.26667,123797,6,2.332,123798,1.0,14.51,149.84
HAR2,Hardoī,Uttar Pradesh,27.39491,80.13165,122635,6,2.323,122636,1.0,14.39,148.57
PUR3,Puruliya,West Bengal,23.33062,86.36303,122533,6,2.322,122535,1.0,14.38,148.5
DHA3,Dharmavaram,Andhra Pradesh,14.41435,77.72035,121874,6,2.317,121873,1.0,14.32,147.78
BHA8,Bhadreswar,West Bengal,22.82449,88.33841,121662,4,2.315,54072,0.444,9.53,91.0
NAG3,Nagaon,Assam,26.35,92.66667,121628,6,2.315,121629,1.0,14.29,147.52
VEJ,Vejalpur,Gujarat,22.69021,73.56299,121610,6,2.315,121611,1.0,14.29,147.52
CHI3,Chikmagalūr,Karnataka,13.32231,75.774,121484,6,2.314,121484,1.0,14.28,147.35
BHA9,Bhadrak,Odisha,21.05447,86.5156,121338,6,2.313,121337,1.0,14.27,147.22
SAW,Sawai Madhopur,Rajasthan,26.02301,76.34408,121106,6,2.311,121107,1.0,14.24,146.98
AMB4,Ambikāpur,Chhattisgarh,23.11892,83.19537,121071,6,2.311,121069,1.0,14.24,146.92
SAT2,Satara,Maharashtra,17.68589,73.99333,120195,6,2.304,120195,1.0,14.15,146.0
CHU,Chūru,Rajasthan,28.30415,74.96718,120157,6,2.303,120157,1.0,14.15,145.95
GAN3,Gangāpur,Rajasthan,26.47249,76.71744,120115,6,2.303,120113,1.0,14.14,145.93
DOH,Dohad,Gujarat,22.83283,74.25986,118846,6,2.293,118844,1.0,14.02,144.55
BAR5,Barshi,Maharashtra,18.23454,75.69275,118722,6,2.292,118722,1.0,14.0,144.43
ADI,Ādilābād,Telangana,19.67203,78.5359,118526,5,2.29,118525,1.0,11.65,125.57
JHU,Jhunjhunūn,Rajasthan,28.12559,75.39797,118473,5,2.29,118474,1.0,11.65,125.51
JET,Jetpur,Gujarat,21.75482,70.62347,118302,5,2.288,118302,1.0,11.63,125.36
GUD,Gudivāda,Andhra Pradesh,16.43547,80.99555,118167,5,2.287,118169,1.0,11.62,125.25
BAR6,Bārān,Rajasthan,25.1,76.51667,117992,5,2.286,117992,1.0,11.61,125.05
NAR2,Narmadapuram,Madhya Pradesh,22.74747,77.72736,117988,5,2.286,117987,1.0,11.61,125.05
AMR4,Amreli,Gujarat,21.59983,71.21169,117967,5,2.286,117965,1.0,11.61,125.05
PUD2,Pudukkottai,Tamil Nadu,10.38128,78.82141,117630,5,2.283,117631,1.0,11.58,124.74
NAR3,Narasaraopet,Andhra Pradesh,16.23488,80.04927,117489,5,2.282,117488,1.0,11.57,124.59
RIS,Rishra,West Bengal,22.72394,88.34563,117014,4,2.278,52007,0.444,9.22,87.99
BAR7,Baripāda,Odisha,21.93458,86.72852,116849,5,2.277,116850,1.0,11.52,124.02
MUK,Muktsar,Punjab,30.47426,74.5166,116747,5,2.276,116745,1.0,11.51,123.91
AZA,Azamgarh,Uttar Pradesh,26.06832,83.18358,116644,5,2.275,116645,1.0,11.5,123.81
BAR8,Barnāla,Punjab,30.37451,75.5487,116449,5,2.273,116451,1.0,11.49,123.61
YEL,Yelahanka,Karnataka,13.10073,77.59632,116447,5,2.273,116446,1.0,11.49,123.61
CHI4,Chittorgarh,Rajasthan,24.88963,74.62403,116406,5,2.273,116407,1.0,11.48,123.6
TIN,Tinsukia,Assam,27.48905,95.35992,116322,5,2.272,116323,1.0,11.47,123.51
KHA6,Khargone,Madhya Pradesh,21.82292,75.61394,116150,5,2.271,116151,1.0,11.46,123.35
BAI,Baidyabāti,West Bengal,22.78498,88.32586,115504,4,2.266,51335,0.444,9.12,87.0
BAS2,Bastī,Uttar Pradesh,26.78817,82.71617,115115,5,2.262,115115,1.0,11.38,122.37
GAN4,Gangavati,Karnataka,15.4313,76.52933,114642,5,2.258,114644,1.0,11.33,121.96
AMB5,Ambur,Tamil Nadu,12.79163,78.71644,114608,5,2.258,114606,1.0,11.33,121.91
GIR,Giridih,Jharkhand,24.18622,86.30875,114533,5,2.257,114533,1.0,11.33,121.85
WAR2,Wardha,Maharashtra,20.73933,78.59784,113759,5,2.251,113758,1.0,11.26,121.09
TAD,Tadepalligudem,Andhra Pradesh,16.81467,81.52717,112655,5,2.242,112655,1.0,11.17,120.06
CHA6,Chanduasi,Uttar Pradesh,28.45178,78.78277,112635,5,2.242,112633,1.0,11.17,120.06
BAG,Bagaha,Bihar,27.09918,84.09003,112634,5,2.242,112633,1.0,11.17,120.06
ACH,Achalpur,Maharashtra,21.25665,77.51006,112311,5,2.239,112311,1.0,11.14,119.75
GON3,Gondal,Gujarat,21.96074,70.80255,112197,5,2.238,112195,1.0,11.13,119.64
DHA4,Dharashiv,Maharashtra,18.18158,76.03889,112085,5,2.237,112084,1.0,11.12,119.54
POR2,Port Blair,Andaman and Nicobar,11.66613,92.74635,112050,5,2.237,112050,1.0,11.12,119.49
BAG2,Bagalkot,Karnataka,16.18673,75.69614,111933,5,2.236,111934,1.0,11.11,119.39
SUR3,Suriāpet,Telangana,17.14054,79.62045,111729,5,2.234,111729,1.0,11.09,119.19
BAN3,Bangaon,West Bengal,23.04553,88.83084,111693,5,2.234,111691,1.0,11.09,119.18
ASH,Ashoknagar Kalyangarh,West Bengal,22.86416,88.63701,111475,5,2.232,74317,0.667,11.07,108.83
DEE,Deesa,Gujarat,24.25612,72.17928,111160,5,2.229,111159,1.0,11.04,118.67
NAV3,Navadwīp,West Bengal,23.4067,88.36861,111123,5,2.229,111124,1.0,11.04,118.62
NAN4,Nandurbar,Maharashtra,21.36671,74.24051,111037,5,2.228,111036,1.0,11.04,118.56
SUL2,Sultānpur,Uttar Pradesh,26.25788,82.07269,110368,5,2.223,110366,1.0,10.98,117.94
FIR2,Firozpur,Punjab,30.92574,74.61311,110313,5,2.222,110315,1.0,10.97,117.89
PAN5,Pandit Deen Dayal Upadhyaya Nagar,Uttar Pradesh,25.28307,83.11968,109650,5,2.217,109650,1.0,10.92,117.23
SEH,Sehore,Madhya Pradesh,23.2,77.08333,109118,5,2.212,109118,1.0,10.88,116.76
BAN4,Bānsbāria,West Bengal,22.95387,88.40098,108474,5,2.207,60262,0.556,10.82,102.99
TAD2,Tadpatri,Andhra Pradesh,14.90832,78.01031,108171,5,2.204,108171,1.0,10.79,115.84
JAL4,Jalpāiguri,West Bengal,26.51667,88.73333,107832,5,2.201,107833,1.0,10.77,115.53
MAN5,Mangalagiri,Andhra Pradesh,16.43083,80.56815,107197,5,2.196,107196,1.0,10.71,114.92
RAN4,Ranebennur,Karnataka,14.62239,75.62951,106406,5,2.189,106408,1.0,10.64,114.19
KHU,Khurja,Uttar Pradesh,28.25382,77.85535,105909,5,2.184,105909,1.0,10.61,113.73
KIS2,Kishanganj,Bihar,26.10224,87.95534,105782,5,2.183,105782,1.0,10.6,113.62
PON,Ponnāni,Kerala,10.76695,75.92523,105512,5,2.181,105511,1.0,10.57,113.36
HIN2,Hindaun,Rajasthan,26.73411,77.03519,105452,5,2.181,105450,1.0,10.56,113.27
JAM5,Jamālpur,Bihar,25.31258,86.48888,105434,5,2.18,105433,1.0,10.56,113.27
NAG4,Nāgaur,Rajasthan,27.20201,73.73394,105218,5,2.178,105217,1.0,10.54,113.06
AMB6,Ambala Sadar,Haryana,30.33544,76.86265,104974,5,2.176,104973,1.0,10.53,112.85
BHI7,Bhiwadi,Rajasthan,28.21024,76.86056,104921,5,2.176,104922,1.0,10.52,112.8
BUN,Būndi,Rajasthan,25.43855,75.63735,104919,5,2.176,104918,1.0,10.52,112.8
MIR2,Miryalaguda,Telangana,16.8722,79.56247,104918,5,2.176,104918,1.0,10.52,112.8
SOY,Soyībug,Jammu and Kashmir,34.07677,74.7057,104000,5,2.168,103998,1.0,10.45,111.92
JAG3,Jagtiāl,Telangana,18.79473,78.91661,103930,5,2.167,103931,1.0,10.44,111.83
ROO,Roorkee,Uttarakhand,29.86632,77.89118,103894,5,2.167,103893,1.0,10.44,111.82
UDG,Udgīr,Maharashtra,18.39258,77.11756,103550,5,2.164,103549,1.0,10.4,111.47
NAG5,Nagda,Madhya Pradesh,23.45834,75.41759,103501,5,2.163,103499,1.0,10.4,111.46
BET2,Betūl,Madhya Pradesh,21.90056,77.90229,103330,5,2.162,103332,1.0,10.38,111.26
JAH,Jahānābād,Bihar,25.21368,84.9871,103202,5,2.161,103200,1.0,10.38,111.15
KAS,Kashipur,Uttarakhand,29.21399,78.95693,103138,5,2.16,103138,1.0,10.37,111.1
GHA2,Ghazīpur,Uttar Pradesh,25.58333,83.58526,103095,5,2.16,103094,1.0,10.37,111.05
AMA,Amaravati,Andhra Pradesh,16.514,80.516,103000,5,2.159,103000,1.0,10.36,110.95
NAG6,Nagapattinam,Tamil Nadu,10.76377,79.84313,102905,5,2.158,102905,1.0,10.35,110.89
BUX,Buxar,Bihar,25.57548,83.98043,102861,5,2.158,102861,1.0,10.34,110.84
MOR4,Mormugao,Goa,15.38914,73.81491,102345,3,2.153,34115,0.333,6.18,58.77
SEO,Seoni,Madhya Pradesh,22.08503,79.55037,102343,5,2.153,102341,1.0,10.3,110.33
AUR2,Aurangābād,Bihar,24.75204,84.3742,102244,5,2.152,102245,1.0,10.3,110.23
HIN3,Hinganghāt,Maharashtra,20.54875,78.83978,101805,5,2.149,101803,1.0,10.26,109.82
DHA5,Dhamtari,Chhattisgarh,20.70718,81.54874,101677,5,2.147,101676,1.0,10.24,109.71
CHI5,Chilakalūrupet,Andhra Pradesh,16.08987,80.16705,101398,5,2.145,101398,1.0,10.22,109.45
MAL4,Malappuram,Kerala,11.04199,76.08154,101386,5,2.145,101387,1.0,10.22,109.45
BAN5,Bānswāra,Rajasthan,23.54109,74.4425,101017,5,2.142,101016,1.0,10.19,109.09
ITA,Itārsi,Madhya Pradesh,22.61477,77.76222,100574,5,2.138,100573,1.0,10.16,108.64
VAS,Vasco da Gama,Goa,15.39585,73.81568,100485,3,2.137,33494,0.333,6.09,57.83
GAN5,Gangtok,Sikkim,27.32574,88.61216,100286,5,2.135,100285,1.0,10.13,108.38
DAT,Datia,Madhya Pradesh,25.67312,78.45908,100284,5,2.135,100284,1.0,10.13,108.38
PHA,Phagwāra,Punjab,31.22452,75.77387,100146,5,2.134,100146,1.0,10.12,108.27
