city_code,name,state,lat,lon,population,zone_count,service_radius_km,modelled_population,retention,area_km2,pipe_length_km
BOR,Borivli,Maharashtra,19.23496,72.85976,609617,22,4.556,533414,0.875,50.75,551.44
BHA2,Bhavnagar,Gujarat,21.76287,72.15331,605882,22,4.544,605882,1.0,50.49,569.08
SAN,Sāngli,Maharashtra,16.85438,74.56417,601214,21,4.53,601212,1.0,47.88,546.98
JAM2,Jamnagar,Gujarat,22.47292,70.06673,600943,21,4.529,600945,1.0,47.86,546.77
JAM3,Jammu,Jammu and Kashmir,32.73528,74.86167,576198,21,4.45,576200,1.0,46.2,526.71
BOK,Bokāro,Jharkhand,23.66934,86.15161,564319,20,4.411,370336,0.656,43.24,446.89
NAN,Nanded,Maharashtra,19.16023,77.31497,550564,20,4.365,550568,1.0,42.34,488.96
KOZ,Kozhikode,Kerala,11.24802,75.7804,550440,20,4.365,550436,1.0,42.34,488.8
KOL2,Kolhāpur,Maharashtra,16.69563,74.23167,549236,20,4.361,549236,1.0,42.26,487.84
NEL,Nellore,Andhra Pradesh,14.44992,79.98697,547621,20,4.355,547620,1.0,42.16,486.6
KAL3,Kalaburagi,Karnataka,17.33583,76.83757,543147,20,4.341,543148,1.0,41.86,483.04
AJM,Ajmer,Rajasthan,26.4521,74.63867,542321,20,4.338,542320,1.0,41.82,482.44
DEH,Dehradun,Uttarakhand,30.32443,78.03392,522081,19,4.269,522086,1.0,55.4,585.58
ERO,Erode,Tamil Nadu,11.3428,77.72741,521891,19,4.268,521889,1.0,55.38,585.39
DUR,Durgapur,West Bengal,23.51583,87.30801,518872,19,4.258,518873,1.0,55.12,582.43
ULH,Ulhasnagar,Maharashtra,19.21667,73.15,516584,1,4.25,24599,0.048,2.89,29.83
SIL,Siliguri,West Bengal,26.71004,88.42851,515574,19,4.247,515573,1.0,54.81,579.19
UJJ,Ujjain,Madhya Pradesh,23.18239,75.77643,515215,19,4.245,515218,1.0,54.8,578.85
BIL,Bilimora,Gujarat,20.76957,72.96134,510879,19,4.23,510884,1.0,54.4,574.58
ASA,Āsansol,West Bengal,23.68333,86.98333,504271,19,4.207,504267,1.0,53.81,568.0
MAN,Mangaluru,Karnataka,12.91723,74.85603,499487,18,4.19,499486,1.0,50.58,540.81
BEL,Belagavi,Karnataka,15.85212,74.50447,490045,18,4.157,490046,1.0,49.77,531.8
SAH,Sahāranpur,Uttar Pradesh,29.9679,77.54522,484873,18,4.138,484876,1.0,49.32,526.83
VEL,Vellore,Tamil Nadu,12.9184,79.13255,484690,18,4.138,484687,1.0,49.3,526.65
BHA3,Bhātpāra,West Bengal,22.86643,88.40113,483129,5,4.132,115030,0.238,13.66,140.65
MAL,Malegaon,Maharashtra,20.54966,74.53462,481228,18,4.125,481232,1.0,49.01,523.39
MOD,Modīnagar,Uttar Pradesh,28.83059,77.57295,475843,18,4.106,475841,1.0,48.55,518.18
GAY,Gaya,Bihar,24.79686,85.00385,474093,18,4.1,474094,1.0,48.4,516.5
AMB,Ambattur,Tamil Nadu,13.09818,80.16152,466205,16,4.071,355204,0.762,42.42,436.25
JAL2,Jalgaon,Maharashtra,21.00292,75.56602,460228,17,4.049,460227,1.0,44.59,482.21
KUR,Kurnool,Andhra Pradesh,15.82887,78.03602,460184,17,4.049,460179,1.0,44.59,482.2
RAM,Rāmgundam,Telangana,18.80084,79.45206,452261,16,4.019,344579,0.762,41.36,424.79
UDA,Udaipur,Rajasthan,24.58584,73.71346,451100,17,4.015,451099,1.0,43.84,473.76
MAH,Maheshtala,West Bengal,22.50862,88.25322,448317,17,4.004,448316,1.0,43.62,471.23
PAT2,Patiāla,Punjab,30.33625,76.3922,446246,17,3.997,446248,1.0,43.45,469.3
SHY,Shyamnagar,West Bengal,22.83333,88.36667,441956,5,3.98,105228,0.238,12.68,130.1
DAV,Davangere,Karnataka,14.46693,75.92694,435128,16,3.955,435129,1.0,40.03,438.92
AKO,Akola,Maharashtra,20.70957,76.9981,428857,16,3.93,428859,1.0,39.55,433.37
RAJ2,Rajpur Sonarpur,West Bengal,22.4382,88.43205,424368,16,3.913,424370,1.0,39.2,429.36
KOR,Korba,Chhattisgarh,22.3458,82.69633,419146,16,3.893,419147,1.0,38.8,424.7
JHA,Jhānsi,Uttar Pradesh,25.45887,78.57994,412927,16,3.869,412928,1.0,38.3,419.11
THO,Thoothukudi,Tamil Nadu,8.76735,78.13425,410760,16,3.86,410760,1.0,38.14,417.17
BAL,Ballari,Karnataka,15.14205,76.92398,410445,16,3.859,410443,1.0,38.11,416.88
BHA4,Bhāgalpur,Bihar,25.24446,86.97183,400146,15,3.818,400144,1.0,34.98,388.98
AGA,Agartala,Tripura,23.83605,91.27939,400004,15,3.817,400002,1.0,34.96,388.87
KAK,Kākināda,Andhra Pradesh,16.96036,82.23809,384182,15,3.753,384182,1.0,33.81,375.21
LAT,Latur,Maharashtra,18.39721,76.56784,382940,15,3.748,382942,1.0,33.72,374.15
PAN,Pānihāti,West Bengal,22.69089,88.37404,378705,3,3.73,54102,0.143,6.68,68.2
RAJ3,Rajamahendravaram,Andhra Pradesh,17.00517,81.77784,376333,14,3.721,376330,1.0,31.01,350.7
DHU,Dhule,Maharashtra,20.9013,74.77737,375559,14,3.717,375558,1.0,30.95,350.05
ROH2,Rohtak,Haryana,28.89447,76.58917,374292,14,3.712,374292,1.0,30.87,349.05
AHI,Ahilyanagar,Maharashtra,19.09457,74.73843,367140,14,3.682,367138,1.0,30.37,343.13
KOL3,Kollam,Kerala,8.88113,76.58469,367107,14,3.682,367108,1.0,30.37,343.05
BIL2,Bilāspur,Chhattisgarh,22.08005,82.15543,365579,14,3.676,365580,1.0,30.27,341.79
BHI3,Bhilwara,Rajasthan,25.34707,74.64081,359483,14,3.65,359482,1.0,29.83,336.71
BRA,Brahmapur,Odisha,19.31151,84.7929,356598,14,3.637,356599,1.0,29.64,334.32
MUZ,Muzaffarpur,Bihar,26.12259,85.39055,354462,14,3.628,354463,1.0,29.48,332.57
PUN2,Punāsa,Madhya Pradesh,22.23507,76.39335,350000,14,3.609,350000,1.0,29.18,328.86
MUZ2,Muzaffarnagar,Uttar Pradesh,29.47091,77.70332,349706,14,3.608,349705,1.0,29.15,328.59
AVA,Avadi,Tamil Nadu,13.1147,80.10981,345996,14,3.592,280092,0.81,28.9,307.55
KAD,Kadapa,Andhra Pradesh,14.47995,78.82346,344893,13,3.587,344892,1.0,26.75,308.1
KAM,Kāmārhāti,West Bengal,22.67111,88.37472,332965,13,3.534,206122,0.619,25.97,264.04
MAT,Mathura,Uttar Pradesh,27.5035,77.67215,330511,13,3.523,330510,1.0,25.82,296.69
CHA2,Chānda,Maharashtra,19.95076,79.29523,328351,13,3.513,328352,1.0,25.68,294.98
VIJ2,Vijayapura,Karnataka,16.82442,75.71537,327427,13,3.509,327428,1.0,25.61,294.2
SHI2,Shivamogga,Karnataka,13.93157,75.56791,322650,13,3.488,322651,1.0,25.3,290.42
ALW,Alwar,Rajasthan,27.56246,76.625,322568,13,3.487,322570,1.0,25.3,290.3
SHA,Shāhjānpur,Uttar Pradesh,27.88165,79.90918,320434,13,3.478,320435,1.0,25.16,288.63
JUN,Jūnāgadh,Gujarat,21.51966,70.45981,319462,13,3.473,319461,1.0,25.09,287.84
THR,Thrissur,Kerala,10.51667,76.21667,315957,13,3.457,315958,1.0,24.86,285.07
NIZ,Nizāmābād,Telangana,18.67154,78.0988,311152,12,3.435,311152,1.0,35.4,368.04
TUM,Tumkūr,Karnataka,13.34136,77.1022,307359,12,3.417,307356,1.0,35.04,364.08
PAR,Parbhani,Maharashtra,19.26855,76.77081,307170,12,3.416,307168,1.0,35.02,363.92
HIS,Hisar,Haryana,29.15394,75.72294,307024,12,3.416,307024,1.0,35.0,363.72
FIR,Fīrozābād,Uttar Pradesh,27.15092,78.39781,306409,12,3.413,306408,1.0,34.94,363.08
KUL,Kulti,West Bengal,23.73166,86.84372,305405,12,3.408,305408,1.0,34.85,362.08
KAR,Karnāl,Haryana,29.69197,76.98448,302140,12,3.393,302136,1.0,34.54,358.64
BAR2,Barddhamān,West Bengal,23.25572,87.85691,301725,12,3.391,301724,1.0,34.5,358.28
GUN2,Gundupālaiyam,Puducherry,11.94096,79.80294,300104,7,3.383,175063,0.583,20.03,208.01
BAR3,Bārāsat,West Bengal,22.72154,88.48198,298127,10,3.374,248436,0.833,28.46,295.38
MUL,Mulugu,Telangana,18.191,79.943,297671,12,3.372,297672,1.0,34.1,354.0
BIH,Bihār Sharīf,Bihar,25.20084,85.52389,297268,12,3.37,297264,1.0,34.07,353.6
RAM2,Rāmpur,Uttar Pradesh,28.81014,79.02699,296418,12,3.366,296420,1.0,33.98,352.72
DAR,Darbhanga,Bihar,26.15216,85.89707,296039,12,3.364,296040,1.0,33.95,352.36
PAN2,Panipat,Haryana,29.38747,76.96825,295970,12,3.364,295972,1.0,33.94,352.24
TIR4,Tirupati,Andhra Pradesh,13.63551,79.41989,295323,12,3.36,295320,1.0,33.88,351.52
GRE,Greater Noida,Uttar Pradesh,28.49615,77.53601,293908,12,3.354,293908,1.0,33.74,350.12
AIZ,Aizawl,Mizoram,23.72894,92.71791,293416,12,3.351,293416,1.0,33.7,349.56
GAN,Gandhinagar,Gujarat,23.21667,72.68333,292797,12,3.348,292800,1.0,33.64,348.92
DIN,Dindigul,Tamil Nadu,10.36896,77.98036,292512,12,3.347,292512,1.0,33.61,348.68
THA2,Thanjavur,Tamil Nadu,10.78523,79.13909,291067,12,3.34,291068,1.0,33.47,347.08
KAR2,Karīmnagar,Telangana,18.43915,79.12856,289821,12,3.334,289820,1.0,33.35,345.84
DEW,Dewas,Madhya Pradesh,22.96585,76.05526,289550,12,3.333,289552,1.0,33.32,345.56
SON,Sonīpat,Haryana,28.99478,77.01937,289333,12,3.332,289328,1.0,33.3,345.32
ICH,Ichalkaranji,Maharashtra,16.69117,74.46054,287353,12,3.322,287356,1.0,33.11,343.24
BAT,Bathinda,Punjab,30.20747,74.93893,285788,12,3.314,285788,1.0,32.95,341.64
JAL3,Jālna,Maharashtra,19.84102,75.88636,285577,11,3.313,285577,1.0,30.2,319.4
KIR,Kirāri Sulemānnagar,Delhi,28.69736,77.0648,283211,2,3.302,47202,0.167,5.45,56.48
