city_code,observed_on,rain_mm_7d,rain_mm_30d,source
TIR5,2026-09-05,13.9,115.4,open-meteo-era5
KAI,2026-09-05,21.3,130.2,open-meteo-era5
BAL3,2026-09-05,141.8,683.8,open-meteo-era5
GOD,2026-09-05,9.3,82.5,open-meteo-era5
SHI5,2026-09-05,46.3,162.6,open-meteo-era5
REW2,2026-09-05,34.4,227.2,open-meteo-era5
BAS,2026-09-05,149.4,359.5,open-meteo-era5
CHH2,2026-09-05,158.6,639.1,open-meteo-era5
MAN3,2026-09-05,22.2,223.7,open-meteo-era5
CHA5,2026-09-05,154.9,410.8,open-meteo-era5
PAL3,2026-09-05,2.5,38.9,open-meteo-era5
LAK,2026-09-05,131.2,431.1,open-meteo-era5
VAL,2026-09-05,32.5,235.5,open-meteo-era5
DAM,2026-09-05,107.4,523.7,open-meteo-era5
HAL2,2026-09-05,76.9,237.1,open-meteo-era5
HAB,2026-09-05,149.9,367.3,open-meteo-era5
KOL4,2026-09-05,12.8,67.8,open-meteo-era5
SRI3,2026-09-05,23.2,274.6,open-meteo-era5
MAN4,2026-09-05,16.0,86.0,open-meteo-era5
MAD4,2026-09-05,158.2,386.3,open-meteo-era5
KAN4,2026-09-05,132.7,352.0,open-meteo-era5
DIM,2026-09-05,96.4,263.6,open-meteo-era5
MAL3,2026-09-05,17.1,112.5,open-meteo-era5
SIW,2026-09-05,130.6,280.3,open-meteo-era5
KAL4,2026-09-05,3.9,64.6,open-meteo-era5
BAN2,2026-09-05,116.8,445.3,open-meteo-era5
PAT4,2026-09-05,2.3,33.8,open-meteo-era5
GON,2026-09-05,103.3,337.6,open-meteo-era5
DHA2,2026-09-05,112.5,245.3,open-meteo-era5
GON2,2026-09-05,59.1,413.0,open-meteo-era5
PAL4,2026-09-05,15.4,304.1,open-meteo-era5
BET,2026-09-05,88.6,273.9,open-meteo-era5
PAL5,2026-09-05,53.0,237.6,open-meteo-era5
RAN3,2026-09-05,137.3,389.2,open-meteo-era5
